occupation_term,search_term,essential flag,toobigflag,salience early pandemic,salience full pandemic,moresalientpost9,10mopre_10mopost salience ratio,3mopre_3mopost salience ratio,1mopre_1mopost salience ratio,10mo60pctflg,3mo60pctflg,1mo60pctflg
accountant,accountant,0,0,0,1,1,0.502747951,0.432624114,0.463458111,0,0,0
actor,actor,0,1,0,0,0,0.490102744,0.519832985,0.557324841,0,0,0
artist,artist,0,1,0,1,0,0.477211547,0.507936508,0.52631579,0,0,0
barber,barber,0,0,0,0,0,0.48414206,0.505154639,0.426470588,0,0,0
bartender,bartender,0,0,1,1,1,0.505232926,0.50377562,0.453634085,0,0,0
cafserver,cafeteria workers,0,0,0,0,1,0.548403932,0.57567804,0.51565762,0,0,0
blkjackdealer,blkjackdealer,0,0,1,1,0,0.419113694,0.715076072,0.562682216,0,1,0
cinematogrphr,Cinematographer,0,0,0,0,0,0.464312629,0.459307011,0.464190981,0,0,0
cook,cook,0,1,1,1,0,0.484996541,0.537888199,0.576628353,0,0,0
cosmetologist,cosmetologist,0,0,1,1,0,0.434388995,0.566272558,0.563506261,0,0,0
designer,designer,0,0,0,0,1,0.510612493,0.46659597,0.496563574,0,0,0
dietitian,dietitian,0,0,0,0,0,0.49139397,0.455388181,0.439862543,0,0,0
eventplanner,event planner,0,0,0,0,1,0.504831867,0.356687898,0.359090909,0,0,0
hairdresser,hairdresser,0,0,1,1,0,0.484926843,0.671828909,0.563245823,0,1,0
housekeeper,housekeeper,0,0,0,0,1,0.599659288,0.505696757,0.477722772,0,0,0
lawyer,lawyer,0,0,0,1,1,0.52172546,0.429042904,0.423503326,0,0,0
librarian,librarian,0,0,0,0,0,0.457630015,0.491132333,0.534188034,0,0,0
muscurator,Museum curator,0,0,0,0,0,0.486805042,0.464131994,0.490697674,0,0,0
musician,musician,0,1,1,1,0,0.458336835,0.519550342,0.545977012,0,0,0
pknglotattn,Parking lot attendant,0,0,0,1,0,0.494832921,0.438596491,0.572368421,0,0,0
pianotuner,Piano tuner,0,0,0,0,0,0.494937211,0.409722222,0.463829787,0,0,0
proathlete,Professional athlete,0,1,0,0,0,0.48285887,0.458386684,0.487229863,0,0,0
realestateagnt,Real estate agent,0,0,0,0,1,0.523602397,0.491389208,0.509025271,0,0,0
resthostess,Restaurant hotess,0,0,1,1,0,0.464358541,0.859489051,0.615615616,0,1,1
secguard,Security guard,0,0,0,0,1,0.513118735,0.489719626,0.477941177,0,0,0
signpainter,Sign painter,0,0,0,0,0,0.488395093,0.539440204,0.577464789,0,0,0
singer,singer,0,0,0,0,0,0.477153857,0.488505747,0.535372849,0,0,0
